key,source,relationship,name,wiki_link,notes
justintrudeau,https://en.wikipedia.org/wiki/Justin_Trudeau,S,Sophie Grégoire Trudeau,/wiki/Sophie_Gr%C3%A9goire_Trudeau,
justintrudeau,https://en.wikipedia.org/wiki/Justin_Trudeau,C,Unknown,N/A,3
justintrudeau,https://en.wikipedia.org/wiki/Justin_Trudeau,P,Pierre Trudeau,/wiki/Pierre_Trudeau,
justintrudeau,https://en.wikipedia.org/wiki/Justin_Trudeau,P,Margaret Trudeau,/wiki/Margaret_Trudeau,
justintrudeau,https://en.wikipedia.org/wiki/Justin_Trudeau,R,Trudeau family,/wiki/Trudeau_family,
mahmoudabbas,https://en.wikipedia.org/wiki/Mahmoud_Abbas,S,Amina Abbas,N/A,
mahmoudabbas,https://en.wikipedia.org/wiki/Mahmoud_Abbas,C,Yasser Abbas,/wiki/Yasser_Abbas,
basharalassad,https://en.wikipedia.org/wiki/Bashar_al-Assad,S,Asma al-Assad,/wiki/Asma_al-Assad,
basharalassad,https://en.wikipedia.org/wiki/Bashar_al-Assad,C,None,#cite_note-hafez-es-1,
basharalassad,https://en.wikipedia.org/wiki/Bashar_al-Assad,C,Zein ,N/A,b. 2003
basharalassad,https://en.wikipedia.org/wiki/Bashar_al-Assad,C,Karim ,N/A,b. 2004
basharalassad,https://en.wikipedia.org/wiki/Bashar_al-Assad,P,Hafez al-Assad,/wiki/Hafez_al-Assad,
basharalassad,https://en.wikipedia.org/wiki/Bashar_al-Assad,P,Anisa Makhlouf,/wiki/Anisa_Makhlouf,
salmanofsaudiarabia,N/A,N/A,N/A,N/A,
michellebachelet,https://en.wikipedia.org/wiki/Michelle_Bachelet,S,Jorge Dávalos Cartes,N/A,m. 1977; div. 1984
michellebachelet,https://en.wikipedia.org/wiki/Michelle_Bachelet,C,Unknown,N/A,3
prayutchanocha,https://en.wikipedia.org/wiki/Prayut_Chan-o-cha,S,Naraporn Chan-o-cha,N/A,
prayutchanocha,https://en.wikipedia.org/wiki/Prayut_Chan-o-cha,C,Unknown,N/A,2
